NCT ID;Title;Status;Phase;Study Type;Enrollment;Conditions
NCT01005329;Intensity-Modulated Radiation Therapy, Cisplatin, and Bevacizumab Followed by Carboplatin and Paclitaxel in Treating Patients Who Have Undergone Surgery for Endometrial Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;34.0;['Endometrial Adenocarcinoma', 'Endometrial Adenosquamous Carcinoma', 'Endometrial Clear Cell Adenocarcinoma', 'Endometrial Serous Adenocarcinoma', 'Stage IA Uterine Corpus Cancer AJCC v7', 'Stage IB Uterine Corpus Cancer AJCC v7', 'Stage II Uterine Corpus Cancer AJCC v7', 'Stage IIIA Uterine Corpus Cancer AJCC v7', 'Stage IIIB Uterine Corpus Cancer AJCC v7', 'Stage IIIC Uterine Corpus Cancer AJCC v7', 'Stage IVA Uterine Corpus Cancer AJCC v7', 'Stage IVB Uterine Corpus Cancer AJCC v7']
NCT00426829;Proton Therapy and Bevacizumab for Primary Liver Tumors;TERMINATED;['PHASE1'];INTERVENTIONAL;3.0;['Liver Cancer', 'Hepatocellular Carcinoma', 'Cholangiocarcinoma']
NCT01894451;Pilot Study of Zirconium-89 Bevacizumab Positron Emission Tomography for Imaging Angiogenesis in Patients With Inflammatory Breast Carcinoma Receiving Preoperative Chemotherapy;COMPLETED;['EARLY_PHASE1'];INTERVENTIONAL;2.0;['Inflammatory Breast Carcinoma']
NCT01295112;Effect of Ozurdex® 0.7 mg on Improvement of Efficacy of Bevacizumab for Central Retinal Vein Occlusion;COMPLETED;['PHASE2', 'PHASE3'];INTERVENTIONAL;68.0;['Non-Ischemic Central Retinal Vein Occlusion']
NCT03387085;QUILT-3.067: NANT Triple Negative Breast Cancer (TNBC) Vaccine: Molecularly Informed Integrated Immunotherapy in Subjects With TNBC Who Have Progressed on or After Standard-of-care Therapy.;ACTIVE_NOT_RECRUITING;['PHASE1', 'PHASE2'];INTERVENTIONAL;79.0;['Triple Negative Breast Cancer']
NCT01473251;Analysis of Growth Factors in Patients Undergoing Lucentis or Avastin Injections for Diabetic Macular Edema and Exudative Macular Degeneration;COMPLETED;['NA'];INTERVENTIONAL;16.0;['Exudative Macular Degeneration', 'Diabetic Macular Edema']
NCT00846612;Pharmacokinetic Study of Avastin and Doxil in Ovarian Cancer;COMPLETED;['PHASE1'];INTERVENTIONAL;15.0;['Ovarian Cancer']
NCT00421512;A Phase I Study of Bevacizumab and Sunitinib in Metastatic Renal Cell Carcinoma Patients;COMPLETED;['PHASE1'];INTERVENTIONAL;28.0;['Metastatic Renal Cell Carcinoma', 'Kidney Cancer']
NCT01198548;High-Dose Cholecalciferol in Treating Patients Receiving Combination Chemotherapy and Bevacizumab as First-Line Therapy For Metastatic Colorectal Cancer;TERMINATED;['PHASE2'];INTERVENTIONAL;10.0;['Stage IV Colon Cancer', 'Stage IV Rectal Cancer']
NCT01578551;Study of Metformin Plus Paclitaxel/Carboplatin/Bevacizumab in Patients With Adenocarcinoma.;TERMINATED;['PHASE2'];INTERVENTIONAL;25.0;['Carcinoma, Non-Small-Cell Lung', 'Lung Adenocarcinoma']
NCT00320255;A Phase 2 Pilot Study of Apixaban for the Prevention of Thromboembolic Events in Patients With Advanced (Metastatic) Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;130.0;['Thrombosis', 'Cancer', 'Pulmonary Embolism']
NCT01057212;Trial of Bevacizumab and Ixabepilone for Advanced or Metastatic Non-small Cell Lung Cancer (NSCLC);TERMINATED;['PHASE2'];INTERVENTIONAL;6.0;['Non-squamous Non-small Cell Lung Cancer']
NCT00276055;Phase IB Study of Gemcitabine, Docetaxel and Bevacizumab in Patients With Soft Tissue Sarcoma;COMPLETED;['PHASE1'];INTERVENTIONAL;38.0;['Sarcoma']
NCT02471651;Dexamethasone Intravitreal Implant for the Treatment of Persistent Diabetic Macular Edema;COMPLETED;['PHASE4'];INTERVENTIONAL;40.0;['Diabetic Macular Edema']
NCT00565851;Carboplatin, Paclitaxel and Gemcitabine Hydrochloride With or Without Bevacizumab After Surgery in Treating Patients With Recurrent Ovarian, Epithelial, Primary Peritoneal, or Fallopian Tube Cancer;ACTIVE_NOT_RECRUITING;['PHASE3'];INTERVENTIONAL;1052.0;['Clear Cell Adenocarcinoma', 'Fallopian Tube Clear Cell Adenocarcinoma', 'Fallopian Tube Endometrioid Adenocarcinoma', 'Fallopian Tube Mucinous Adenocarcinoma', 'Fallopian Tube Serous Adenocarcinoma', 'Fallopian Tube Transitional Cell Carcinoma', 'Fallopian Tube Undifferentiated Carcinoma', 'Mucinous Adenocarcinoma', 'Ovarian Brenner Tumor', 'Ovarian Clear Cell Adenocarcinofibroma', 'Ovarian Clear Cell Adenocarcinoma', 'Ovarian Endometrioid Adenocarcinoma', 'Ovarian Seromucinous Carcinoma', 'Ovarian Serous Adenocarcinoma', 'Ovarian Transitional Cell Carcinoma', 'Ovarian Undifferentiated Carcinoma', 'Primary Peritoneal Clear Cell Adenocarcinoma', 'Primary Peritoneal Endometrioid Adenocarcinoma', 'Primary Peritoneal Serous Adenocarcinoma', 'Primary Peritoneal Transitional Cell Carcinoma', 'Primary Peritoneal Undifferentiated Carcinoma', 'Recurrent Fallopian Tube Carcinoma', 'Recurrent Ovarian Carcinoma', 'Recurrent Primary Peritoneal Carcinoma', 'Undifferentiated Carcinoma']
NCT00881751;Bevacizumab and Erlotinib or Sorafenib as First-Line Therapy in Treating Patients With Advanced Liver Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;95.0;['Liver Cancer']
NCT00369551;Bevacizumab, Paclitaxel, Carboplatin, and Radiation Therapy to the Chest in Treating Patients With Locally Advanced Non-Small Cell Lung Cancer;TERMINATED;['PHASE1'];INTERVENTIONAL;36.0;['Adenocarcinoma of the Lung', 'Bronchoalveolar Cell Lung Cancer', 'Large Cell Lung Cancer', 'Stage II Non-small Cell Lung Cancer', 'Stage IIIA Non-small Cell Lung Cancer', 'Stage IIIB Non-small Cell Lung Cancer']
NCT00387751;Bevacizumab and Sorafenib in Treating Patients With Unresectable Stage III or Stage IV Malignant Melanoma;COMPLETED;['PHASE2'];INTERVENTIONAL;14.0;['Recurrent Melanoma', 'Stage III Skin Melanoma', 'Stage IV Skin Melanoma']
NCT01984242;A Study of Atezolizumab (an Engineered Anti-Programmed Death-Ligand 1 [PD-L1] Antibody) as Monotherapy or in Combination With Bevacizumab (Avastin®) Compared to Sunitinib (Sutent®) in Participants With Untreated Advanced Renal Cell Carcinoma;COMPLETED;['PHASE2'];INTERVENTIONAL;305.0;['Renal Cell Carcinoma']
NCT00025389;Bevacizumab, Paclitaxel, and Carboplatin Before Surgery in Treating Patients With Stage IB, Stage II, or Stage IIIA Non-Small Cell Lung Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;8.0;['Lung Cancer']
NCT00369889;A Study to Test the Safety and Efficacy of Erlotinib Plus Bevacizumab to Treat Advanced Thymoma and Thymic Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;18.0;['Thymic Cancer', 'Thymoma']
NCT04094688;Vitamin D3 With Chemotherapy and Bevacizumab in Treating Patients With Advanced or Metastatic Colorectal Cancer;ACTIVE_NOT_RECRUITING;['PHASE3'];INTERVENTIONAL;455.0;['Colorectal Adenocarcinoma']
NCT00356889;Bevacizumab and Erlotinib Hydrochloride in Treating Patients With Metastatic or Unresectable Biliary Tumors;COMPLETED;['PHASE2'];INTERVENTIONAL;56.0;['Cholangiocarcinoma of the Extrahepatic Bile Duct', 'Cholangiocarcinoma of the Gallbladder', 'Gastrointestinal Cancer', 'Recurrent Extrahepatic Bile Duct Cancer', 'Recurrent Gallbladder Cancer', 'Unresectable Extrahepatic Bile Duct Cancer', 'Unresectable Gallbladder Cancer']
NCT01495988;Trial of Vemurafenib/Cobimetinib With or Without Bevacizumab in Patients With Stage IV BRAFV600 Mutant Melanoma;TERMINATED;['PHASE2'];INTERVENTIONAL;10.0;['Melanoma', 'Metastatic Melanoma']
NCT00883688;Bevacizumab and Lapatinib in Children With Recurrent or Refractory Ependymoma;COMPLETED;['PHASE2'];INTERVENTIONAL;24.0;['Brain Cancer', 'Pediatric Cancers']
NCT03425292;A Longitudinal Assessment of Tumor Evolution in Patients With Brain Cancer;COMPLETED;['PHASE1'];INTERVENTIONAL;49.0;['Newly Diagnosed High Grade Glioma']
NCT00586092;A Phase I Study of ABT-510 in Combination With Bevacizumab in Advanced Solid Tumors;COMPLETED;['PHASE1'];INTERVENTIONAL;45.0;['Solid Tumors']
NCT00511992;Study of Bevacizumab Followed by Bevacizumab Consolidation for Ovarian Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;20.0;['Advanced Ovarian Carcinoma', 'Primary Peritoneal Carcinoma', 'Ovarian Carcinosarcoma']
NCT00423930;Cisplatin, Bevacizumab, and Intensity-Modulated Radiation Therapy in Treating Patients With Stage III or Stage IV Head and Neck Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;44.0;['Head and Neck Cancer']
NCT01206530;FOLFOX/Bevacizumab/Hydroxychloroquine (HCQ) in Colorectal Cancer;COMPLETED;['PHASE1', 'PHASE2'];INTERVENTIONAL;50.0;['Rectal Cancer', 'Colon Cancer', 'Metastasis', 'Adenocarcinoma']
NCT00953121;Bevacizumab Plus Irinotecan Plus Carboplatin for Recurrent Malignant Glioma (MG);COMPLETED;['PHASE2'];INTERVENTIONAL;104.0;['Malignant Glioma']
NCT02420821;A Study of Atezolizumab in Combination With Bevacizumab Versus Sunitinib in Participants With Untreated Advanced Renal Cell Carcinoma (RCC);COMPLETED;['PHASE3'];INTERVENTIONAL;915.0;['Renal Cell Carcinoma']
NCT02336165;Phase 2 Study of Durvalumab (MEDI4736) in Patients With Glioblastoma;COMPLETED;['PHASE2'];INTERVENTIONAL;159.0;['Glioblastoma']
NCT00462865;Trial of Chemotherapy and Avastin as Treatment for Women With Breast Cancer at High Risk for Relapse;TERMINATED;['PHASE2'];INTERVENTIONAL;18.0;['Breast Cancer']
NCT00492089;Bevacizumab in Reducing CNS Side Effects in Patients Who Have Undergone Radiation Therapy to the Brain for Primary Brain Tumor, Meningioma, or Head and Neck Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;11.0;['Adult Anaplastic Astrocytoma', 'Adult Anaplastic Ependymoma', 'Adult Anaplastic Meningioma', 'Adult Anaplastic Oligodendroglioma', 'Adult Brain Stem Glioma', 'Adult Central Nervous System Germ Cell Tumor', 'Adult Choroid Plexus Tumor', 'Adult Diffuse Astrocytoma', 'Adult Ependymoma', 'Adult Grade II Meningioma', 'Adult Grade III Meningioma', 'Adult Malignant Hemangiopericytoma', 'Adult Mixed Glioma', 'Adult Oligodendroglioma', 'Adult Papillary Meningioma', 'Adult Pineocytoma', 'Malignant Neoplasm', 'Meningeal Melanocytoma', 'Radiation Toxicity', 'Recurrent Adenoid Cystic Carcinoma of the Oral Cavity', 'Recurrent Adult Brain Tumor', 'Recurrent Basal Cell Carcinoma of the Lip', 'Recurrent Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity', 'Recurrent Inverted Papilloma of the Paranasal Sinus and Nasal Cavity', 'Recurrent Lymphoepithelioma of the Nasopharynx', 'Recurrent Lymphoepithelioma of the Oropharynx', 'Recurrent Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity', 'Recurrent Mucoepidermoid Carcinoma of the Oral Cavity', 'Recurrent Salivary Gland Cancer', 'Recurrent Squamous Cell Carcinoma of the Hypopharynx', 'Recurrent Squamous Cell Carcinoma of the Larynx', 'Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity', 'Recurrent Squamous Cell Carcinoma of the Nasopharynx', 'Recurrent Squamous Cell Carcinoma of the Oropharynx', 'Recurrent Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity', 'Recurrent Verrucous Carcinoma of the Larynx', 'Recurrent Verrucous Carcinoma of the Oral Cavity', 'Stage I Adenoid Cystic Carcinoma of the Oral Cavity', 'Stage I Basal Cell Carcinoma of the Lip', 'Stage I Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity', 'Stage I Inverted Papilloma of the Paranasal Sinus and Nasal Cavity', 'Stage I Lymphoepithelioma of the Nasopharynx', 'Stage I Lymphoepithelioma of the Oropharynx', 'Stage I Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity', 'Stage I Mucoepidermoid Carcinoma of the Oral Cavity', 'Stage I Salivary Gland Cancer', 'Stage I Squamous Cell Carcinoma of the Hypopharynx', 'Stage I Squamous Cell Carcinoma of the Larynx', 'Stage I Squamous Cell Carcinoma of the Lip and Oral Cavity', 'Stage I Squamous Cell Carcinoma of the Nasopharynx', 'Stage I Squamous Cell Carcinoma of the Oropharynx', 'Stage I Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity', 'Stage I Verrucous Carcinoma of the Larynx', 'Stage I Verrucous Carcinoma of the Oral Cavity', 'Stage III Adenoid Cystic Carcinoma of the Oral Cavity', 'Stage III Basal Cell Carcinoma of the Lip', 'Stage III Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity', 'Stage III Inverted Papilloma of the Paranasal Sinus and Nasal Cavity', 'Stage III Lymphoepithelioma of the Nasopharynx', 'Stage III Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity', 'Stage III Mucoepidermoid Carcinoma of the Oral Cavity', 'Stage III Salivary Gland Cancer', 'Stage III Squamous Cell Carcinoma of the Hypopharynx', 'Stage III Squamous Cell Carcinoma of the Larynx', 'Stage III Squamous Cell Carcinoma of the Lip and Oral Cavity', 'Stage III Squamous Cell Carcinoma of the Nasopharynx', 'Stage III Squamous Cell Carcinoma of the Oropharynx', 'Stage III Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity', 'Stage III Verrucous Carcinoma of the Larynx', 'Stage III Verrucous Carcinoma of the Oral Cavity', 'Stage IV Adenoid Cystic Carcinoma of the Oral Cavity', 'Stage IV Basal Cell Carcinoma of the Lip', 'Stage IV Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity', 'Stage IV Inverted Papilloma of the Paranasal Sinus and Nasal Cavity', 'Stage IV Lymphoepithelioma of the Nasopharynx', 'Stage IV Lymphoepithelioma of the Oropharynx', 'Stage IV Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity', 'Stage IV Mucoepidermoid Carcinoma of the Oral Cavity', 'Stage IV Salivary Gland Cancer', 'Stage IV Squamous Cell Carcinoma of the Hypopharynx', 'Stage IV Squamous Cell Carcinoma of the Larynx', 'Stage IV Squamous Cell Carcinoma of the Lip and Oral Cavity', 'Stage IV Squamous Cell Carcinoma of the Nasopharynx', 'Stage IV Squamous Cell Carcinoma of the Oropharynx', 'Stage IV Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity', 'Stage IV Verrucous Carcinoma of the Larynx', 'Stage IV Verrucous Carcinoma of the Oral Cavity']
NCT01831089;Phase I Study of Lurbinectedin (PM01183) in Combination With Paclitaxel, With or Without Bevacizumab, in Selected Advanced Solid Tumors;COMPLETED;['PHASE1'];INTERVENTIONAL;69.0;['Breast Cancer', 'Ovarian Cancer', 'Gynecological Cancer', 'Head and Neck Carcinoma', 'Non-small Cell Lung Cancer', 'Small Cell Lung Cancer', 'Non-squamous Cell Lung Cancer']
NCT01090830;Safety and Efficacy of Belinostat When Used With Standard of Care Chemotherapy for Untreated Non-small Cell Lung Cancer;TERMINATED;['PHASE1', 'PHASE2'];INTERVENTIONAL;7.0;['Non-Small-Cell Lung Carcinoma']
NCT02715531;A Study of the Safety and Efficacy of Atezolizumab Administered in Combination With Bevacizumab and/or Other Treatments in Participants With Solid Tumors;COMPLETED;['PHASE1'];INTERVENTIONAL;243.0;['Solid Tumor']
NCT00600821;A Study Of AG-013736 (Axitinib) Or Bevacizumab (Avastin) In Combination With Paclitaxel And Carboplatin In Patients With Advanced Lung Cancer.;COMPLETED;['PHASE2'];INTERVENTIONAL;118.0;['Non-Small-Cell Lung Carcinoma', 'Adenocarcinoma']
NCT01478321;Efficacy of Hypofractionated XRT w/Bev. + Temozolomide for Recurrent Gliomas;TERMINATED;['PHASE2'];INTERVENTIONAL;54.0;['Adult Anaplastic Astrocytoma', 'Adult Anaplastic Ependymoma', 'Adult Anaplastic Oligodendroglioma', 'Adult Giant Cell Glioblastoma', 'Adult Glioblastoma']
NCT00026221;Bevacizumab With or Without Interferon Alfa in Treating Patients With Metastatic Malignant Melanoma;COMPLETED;['PHASE2'];INTERVENTIONAL;57.0;['Recurrent Melanoma', 'Stage IV Skin Melanoma']
NCT00660621;A Phase II Study Of Gliadel, Concomitant Temozolomide And Radiation, Followed By Dose Dense Therapy With Temozolomide Plus Bevacizumab For Newly Diagnosed Malignant High Grade Glioma;UNKNOWN;['PHASE2'];INTERVENTIONAL;40.0;['Glioma']
NCT00707889;Phase 2 Study of ABT-869 in Combination With mFOLFOX6 Versus Bevacizumab in Combination With mFOLFOX6 to Treat Advanced Colorectal Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;159.0;['Advanced Colorectal Cancer', 'Adenocarcinoma of the Colon', 'Adenocarcinoma of the Rectum']
NCT05116189;Pembrolizumab/Placebo Plus Paclitaxel With or Without Bevacizumab for Platinum-resistant Recurrent Ovarian Cancer (MK-3475-B96/KEYNOTE-B96/ENGOT-ov65);ACTIVE_NOT_RECRUITING;['PHASE3'];INTERVENTIONAL;616.0;['Ovarian Cancer', 'Carcinoma, Ovarian Epithelial', 'Fallopian Tube Neoplasms']
NCT01532089;Erlotinib Hydrochloride With or Without Bevacizumab in Treating Patients With Stage IV Non-small Cell Lung Cancer With Epidermal Growth Factor Receptor Mutations;COMPLETED;['PHASE2'];INTERVENTIONAL;88.0;['EGFR Exon 19 Deletion Mutation', 'EGFR NP_005219.2:p.L858R', 'Lung Non-Squamous Non-Small Cell Carcinoma', 'Stage IV Lung Non-Small Cell Cancer AJCC v7']
NCT00409565;A Phase II Trial of Cetuximab and Bevacizumab in Patients With Recurrent or Metastatic Head and Neck Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;48.0;['Head and Neck Cancer', 'Squamous Cell Carcinoma']
NCT03128047;HUMC 1612: Optune NovoTTF-200A System;ACTIVE_NOT_RECRUITING;['PHASE1'];INTERVENTIONAL;6.0;['High Grade Glioma', 'Ependymoma']
NCT02120287;Border Zone Stereotactic Radiosurgery With Bevacizumab in Patients With Glioblastoma Multiforme;COMPLETED;['PHASE2'];INTERVENTIONAL;16.0;['Glioblastoma Multiforme', 'Glioblastoma - Category']
NCT01015222;Dasatinib, Bevacizumab, Paclitaxel in Patients With Advanced Malignancies;COMPLETED;['PHASE1'];INTERVENTIONAL;122.0;['Advanced Cancer']
NCT00959647;A Study of Vismodegib (GDC-0449) in Patients Treated With Vismodegib in a Previous Genentech-sponsored Phase I or II Cancer Study;COMPLETED;['PHASE2'];INTERVENTIONAL;19.0;['Ovarian Cancer', 'Basal Cell Carcinoma', 'Metastatic Colorectal Cancer']
NCT01207687;Bevacizumab for Symptomatic Vestibular Schwannoma in Neurofibromatosis Type 2 (NF2);COMPLETED;['PHASE2'];INTERVENTIONAL;14.0;['Vestibular Schwannoma', 'Neurofibromatosis Type 2']
NCT05231122;Pembrolizumab Combined With Bevacizumab With or Without Agonist Anti-CD40 CDX-1140 for the Treatment of Patients With Recurrent Ovarian Cancer;RECRUITING;['PHASE2'];INTERVENTIONAL;80.0;['Ovarian Clear Cell Adenocarcinoma', 'Platinum-Sensitive Ovarian Carcinoma', 'Recurrent Endometrial Serous Adenocarcinoma', 'Recurrent Fallopian Tube Carcinoma', 'Recurrent Fallopian Tube Endometrioid Adenocarcinoma', 'Recurrent Fallopian Tube Serous Adenocarcinoma', 'Recurrent Ovarian Carcinoma', 'Recurrent Ovarian Clear Cell Adenocarcinoma', 'Recurrent Ovarian Endometrioid Adenocarcinoma', 'Recurrent Ovarian Serous Adenocarcinoma', 'Recurrent Platinum-Resistant Ovarian Carcinoma', 'Recurrent Primary Peritoneal Carcinoma', 'Recurrent Primary Peritoneal Clear Cell Adenocarcinoma', 'Recurrent Primary Peritoneal Endometrioid Adenocarcinoma', 'Recurrent Primary Peritoneal Serous Adenocarcinoma']
NCT00466687;Erlotinib and Bevacizumab in Treating Patients With Stage IV Melanoma;COMPLETED;['PHASE2'];INTERVENTIONAL;34.0;['Melanoma']
NCT01916447;A Phase I Study of TAS-102 in Patients With Advanced Gastrointestinal Tumors.;COMPLETED;['PHASE1'];INTERVENTIONAL;65.0;['Advanced Gastrointestinal Tumors']
NCT00098787;Bevacizumab and Oxaliplatin Combined With Irinotecan or Leucovorin and Fluorouracil in Treating Patients With Metastatic or Recurrent Colorectal Cancer;COMPLETED;['PHASE2'];INTERVENTIONAL;247.0;['Colorectal Cancer']
